Date,Price,Open,High,Low,Vol.,Change %
12/1/2011,"1,564.30","1,746.49","1,762.25","1,522.44",,-10.39
11/1/2011,"1,745.70","1,714.65","1,803.20","1,666.48",,1.78
10/1/2011,"1,715.25","1,619.49","1,753.99","1,597.14",,5.64
9/1/2011,"1,623.75","1,823.09","1,920.80","1,534.99",,-10.97
8/1/2011,"1,823.80","1,626.64","1,911.96","1,608.19",,12.12
7/1/2011,"1,626.64","1,501.34","1,632.80","1,478.51",,8.44
6/1/2011,"1,500.10","1,535.15","1,558.25","1,490.80",,-2.3
5/1/2011,"1,535.35","1,569.29","1,577.79","1,464.40",,-1.93
4/1/2011,"1,565.60","1,434.09","1,571.30","1,414.55",,9.33
3/1/2011,"1,432.00","1,412.59","1,449.40","1,382.90",,1.44
2/1/2011,"1,411.65","1,332.15","1,418.27","1,325.14",,5.96
1/1/2011,"1,332.19","1,421.18","1,423.95","1,308.38",,-6.28
12/1/2010,"1,421.45","1,387.30","1,432.95","1,363.35",,2.64
11/1/2010,"1,384.85","1,360.59","1,424.50","1,324.04",,1.86
10/1/2010,"1,359.55","1,309.55","1,387.60","1,306.10",,3.82
9/1/2010,"1,309.50","1,248.50","1,316.80","1,236.70",,4.96
8/1/2010,"1,247.65","1,182.45","1,251.90","1,176.50",,5.65
7/1/2010,"1,180.90","1,242.15","1,244.00","1,157.40",,-4.95
6/1/2010,"1,242.35","1,216.10","1,265.90","1,197.65",,2.15
5/1/2010,"1,216.21","1,179.00","1,249.45","1,157.70",,3.13
4/1/2010,"1,179.25","1,113.40","1,182.05","1,112.35",,5.88
3/1/2010,"1,113.80","1,117.15","1,145.60","1,085.85",,-0.24
2/1/2010,"1,116.50","1,080.10","1,131.05","1,044.15",,3.23
1/1/2010,"1,081.55","1,096.75","1,162.00","1,074.25",,-1.34
12/1/2009,"1,096.20","1,179.75","1,226.60","1,074.60",,-7.01
11/1/2009,"1,178.85","1,044.30","1,195.30","1,040.65",,12.82
10/1/2009,"1,044.90","1,006.70","1,070.90",986.7,,3.69
9/1/2009,"1,007.70",950.55,"1,024.85",947,,5.95
8/1/2009,951.15,953.8,972.75,931.2,,-0.38
7/1/2009,954.75,926.3,959.7,906,,3.01
6/1/2009,926.85,979.6,990.8,913.9,,-5.42
5/1/2009,980,887.3,981,880.55,,10.55
4/1/2009,886.5,918.55,933.35,865,,-3.45
3/1/2009,918.15,940,967.7,883.9,,-2.86
2/1/2009,945.15,927.95,"1,006.40",888,,1.88
1/1/2009,927.75,880.3,931.4,802.65,,5.4
12/1/2008,880.2,817,891.55,742.4,,7.67
11/1/2008,817.5,724.85,832.1,702.25,,12.75
10/1/2008,725.05,872.15,933,682.8,,-16.85
9/1/2008,871.95,836.5,922,738,,4.95
8/1/2008,830.8,914.55,917.9,774.9,,-9.09
7/1/2008,913.85,926.5,988.75,894.5,,-1.22
6/1/2008,925.1,887.75,936,857.8,,4.31
5/1/2008,886.9,877.15,936.3,846,,1.83
4/1/2008,870.95,916.25,953.6,863.3,,-4.89
3/1/2008,915.7,973.4,"1,031.20",905.05,,-5.84
2/1/2008,972.48,924.38,976.27,885.67,,5.06
1/1/2008,925.62,833.92,933.73,833.83,,11.04
12/1/2007,833.6,783.1,843.6,777.4,,6.48
11/1/2007,782.9,795.9,845.8,773,,-1.67
10/1/2007,796.2,744.2,796.9,721.1,,7
9/1/2007,744.1,673.4,745.9,671.4,,10.56
8/1/2007,673,663.4,677,641.5,,1.43
7/1/2007,663.5,651.25,687.6,645.5,,2.13
6/1/2007,649.65,662.2,674.7,639.65,,-1.71
5/1/2007,660.95,678.95,691.55,652.05,,-2.55
4/1/2007,678.25,665.45,693.85,656.45,,2.21
3/1/2007,663.6,669.7,677.7,632.8,,-0.95
2/1/2007,669.95,652.85,689.35,643.15,,2.56
1/1/2007,653.2,637.3,655.2,602.2,,2.58
12/1/2006,636.8,648,650,611.8,,-1.77
11/1/2006,648.3,606.4,649,605.7,,6.87
10/1/2006,606.6,598.5,611,559.9,,1.39
9/1/2006,598.3,625.3,640.75,571.7,,-4.56
8/1/2006,626.9,636,655.95,607.3,,-1.21
7/1/2006,634.58,617.88,676.38,601.98,,3.5
6/1/2006,613.1,643.4,645.5,543.5,,-4.75
5/1/2006,643.7,654.5,730.4,636.6,,-1.65
4/1/2006,654.5,583,655.8,582.3,,12.14
3/1/2006,583.65,561.15,589.15,534.05,,3.9
2/1/2006,561.75,568.95,575.05,534.95,,-1.27
1/1/2006,568.95,517.2,572.65,549.45,,9.92
12/1/2005,517.6,493.9,517.6,517.6,,4.81
11/1/2005,493.85,465.35,493.85,493.85,,6.16
10/1/2005,465.2,467.65,465.2,465.2,,-0.84
9/1/2005,469.15,435.1,469.15,469.15,,7.79
8/1/2005,435.25,429.75,435.25,435.25,,1.17
7/1/2005,430.2,434.9,430.2,430.2,,-1.16
6/1/2005,435.25,417,435.25,435.25,,4.29
5/1/2005,417.35,434.35,417.35,417.35,,-4.03
4/1/2005,434.88,428.38,434.88,434.88,,1.5
3/1/2005,428.45,435.65,428.45,428.45,,-1.65
2/1/2005,435.62,422.38,435.62,435.62,,3.08
1/1/2005,422.62,437.88,422.62,422.62,,-3.61
12/1/2004,438.45,451.1,438.45,438.45,,-2.76
11/1/2004,450.88,429.62,450.88,450.88,,5.22
10/1/2004,428.52,418.12,428.52,428.52,,2.46
9/1/2004,418.25,410,418.25,418.25,,2.06
8/1/2004,409.82,394.38,409.82,409.82,,4.75
7/1/2004,391.25,394.5,391.25,391.25,,-0.79
6/1/2004,394.38,395.27,394.38,394.38,,-0.28
5/1/2004,395.5,389.15,395.5,395.5,,2.04
4/1/2004,387.6,426.9,387.6,387.6,,-9.15
3/1/2004,426.62,397.12,426.62,426.62,,7.61
2/1/2004,396.45,402.35,396.45,396.45,,-1.52
1/1/2004,402.57,415.38,402.57,402.57,,-3.01
12/1/2003,415.05,398.5,415.05,415.05,,4.32
11/1/2003,397.88,384.62,397.88,397.88,,3.51
10/1/2003,384.4,385.05,384.4,384.4,,-0.22
9/1/2003,385.25,374.75,385.25,385.25,,2.58
8/1/2003,375.57,355.48,375.57,375.57,,5.79
7/1/2003,355,346.75,355,355,,2.48
6/1/2003,346.4,362.35,346.4,346.4,,-5.09
5/1/2003,364.98,339.77,364.98,364.98,,7.47
4/1/2003,339.62,337.62,339.62,339.62,,0.63
3/1/2003,337.48,348.62,337.48,337.48,,-3.54
2/1/2003,349.85,368.1,349.85,349.85,,-5.06
1/1/2003,368.48,346.38,368.48,368.48,,6.19
12/1/2002,347,318.9,347,347,,8.76
11/1/2002,319.05,317.75,319.05,319.05,,0.39
10/1/2002,317.8,323.65,317.8,317.8,,-1.84
9/1/2002,323.75,312.65,323.75,323.75,,3.52
8/1/2002,312.75,303.75,312.75,312.75,,3.03
7/1/2002,303.55,314,303.55,303.55,,-3.52
6/1/2002,314.62,326.68,314.62,314.62,,-3.65
5/1/2002,326.55,309.25,326.55,326.55,,5.9
4/1/2002,308.35,302.25,308.35,308.35,,1.87
3/1/2002,302.7,296.65,302.7,302.7,,1.94
2/1/2002,296.95,282.75,296.95,296.95,,5.17
1/1/2002,282.35,278.85,282.35,282.35,,1.22
12/1/2001,278.95,274.8,278.95,278.95,,1.66
11/1/2001,274.4,279.55,274.4,274.4,,-1.88
10/1/2001,279.65,291.7,279.65,279.65,,-4.54
9/1/2001,292.95,274.5,292.95,292.95,,6.74
8/1/2001,274.45,266.55,274.45,274.45,,2.85
7/1/2001,266.85,270.8,266.85,266.85,,-1.48
6/1/2001,270.85,265.9,270.85,270.85,,1.8
5/1/2001,266.05,263.85,266.05,266.05,,0.76
4/1/2001,264.05,257.75,264.05,264.05,,2.36
3/1/2001,257.95,267.15,257.95,257.95,,-3.48
2/1/2001,267.25,266.15,267.25,267.25,,0.53
1/1/2001,265.85,272.75,265.85,265.85,,-2.4
12/1/2000,272.4,270.45,272.4,272.4,,0.76
11/1/2000,270.35,265.05,270.35,270.35,,2
10/1/2000,265.05,274.25,265.05,265.05,,-3.35
9/1/2000,274.25,277.8,274.25,274.25,,-1.26
8/1/2000,277.75,277.45,277.75,277.75,,0.18
7/1/2000,277.25,289.65,277.25,277.25,,-4.43
6/1/2000,290.1,272.1,290.1,290.1,,6.6
5/1/2000,272.15,273.75,272.15,272.15,,-0.49
4/1/2000,273.5,278.75,273.5,273.5,,-1.95
3/1/2000,278.95,292,278.95,278.95,,-4.51
2/1/2000,292.12,283.27,292.12,292.12,,3.14
1/1/2000,283.23,288.38,283.23,283.23,,-1.74
