Date,Price,Open,High,Low,Vol.,Change %,Change
1/1/2018,"2,823.81","2,683.73","2,872.87","2,682.36",,5.62%,5.62
12/1/2017,"2,673.61","2,645.10","2,694.97","2,605.52",,0.98%,0.98
11/1/2017,"2,647.58","2,583.21","2,657.74","2,557.45",,2.81%,2.81
10/1/2017,"2,575.26","2,521.20","2,582.98","2,520.40",,2.22%,2.22
9/1/2017,"2,519.36","2,474.42","2,519.44","2,446.55",,1.93%,1.93
8/1/2017,"2,471.65","2,477.10","2,490.87","2,417.35",,0.05%,0.05
7/1/2017,"2,470.30","2,431.39","2,484.04","2,407.70",,1.93%,1.93
6/1/2017,"2,423.41","2,415.65","2,453.82","2,405.70",,0.48%,0.48
5/1/2017,"2,411.80","2,388.50","2,418.71","2,352.72",,1.16%,1.16
4/1/2017,"2,384.20","2,362.34","2,398.16","2,328.95",,0.91%,0.91
3/1/2017,"2,362.72","2,380.13","2,400.98","2,322.25",,-0.04%,-0.04
2/1/2017,"2,363.64","2,285.59","2,371.54","2,271.65",,3.72%,3.72
1/1/2017,"2,278.87","2,251.57","2,300.99","2,245.13",,1.79%,1.79
12/1/2016,"2,238.83","2,200.17","2,277.53","2,187.44",,1.82%,1.82
11/1/2016,"2,198.81","2,128.68","2,214.10","2,083.79",,3.42%,3.42
10/1/2016,"2,126.15","2,164.33","2,169.60","2,114.72",,-1.94%,-1.94
9/1/2016,"2,168.27","2,171.33","2,187.87","2,119.12",,-0.12%,-0.12
8/1/2016,"2,170.95","2,173.15","2,193.81","2,147.58",,-0.12%,-0.12
7/1/2016,"2,173.60","2,099.34","2,177.09","2,074.02",,3.56%,3.56
6/1/2016,"2,098.86","2,093.94","2,120.55","1,991.68",,0.09%,0.09
5/1/2016,"2,096.96","2,067.17","2,103.48","2,025.91",,1.53%,1.53
4/1/2016,"2,065.30","2,056.62","2,111.05","2,033.80",,0.27%,0.27
3/1/2016,"2,059.74","1,937.09","2,072.21","1,937.09",,6.60%,6.6
2/1/2016,"1,932.23","1,936.94","1,962.96","1,810.10",,-0.41%,-0.41
1/1/2016,"1,940.24","2,038.20","2,038.20","1,812.29",,-5.07%,-5.07
12/1/2015,"2,043.94","2,082.93","2,104.27","1,993.26",,-1.75%,-1.75
11/1/2015,"2,080.41","2,080.76","2,116.48","2,019.39",,0.05%,0.05
10/1/2015,"2,079.36","1,919.65","2,094.32","1,893.70",,8.30%,8.3
9/1/2015,"1,920.03","1,970.09","2,020.86","1,871.91",,-2.64%,-2.64
8/1/2015,"1,972.18","2,104.49","2,112.66","1,867.01",,-6.26%,-6.26
7/1/2015,"2,103.84","2,067.00","2,132.82","2,044.02",,1.97%,1.97
6/1/2015,"2,063.11","2,108.64","2,129.87","2,056.32",,-2.10%,-2.1
5/1/2015,"2,107.39","2,087.38","2,134.72","2,067.93",,1.05%,1.05
4/1/2015,"2,085.51","2,067.63","2,125.92","2,048.38",,0.85%,0.85
3/1/2015,"2,067.89","2,105.23","2,117.52","2,039.69",,-1.74%,-1.74
2/1/2015,"2,104.50","1,996.67","2,119.59","1,980.90",,5.49%,5.49
1/1/2015,"1,994.99","2,058.90","2,072.36","1,988.12",,-3.10%,-3.1
12/1/2014,"2,058.90","2,065.78","2,093.55","1,972.56",,-0.42%,-0.42
11/1/2014,"2,067.56","2,018.21","2,075.76","2,001.01",,2.45%,2.45
10/1/2014,"2,018.05","1,971.44","2,018.19","1,820.66",,2.32%,2.32
9/1/2014,"1,972.29","2,004.07","2,019.26","1,964.04",,-1.55%,-1.55
8/1/2014,"2,003.37","1,929.80","2,005.04","1,904.78",,3.77%,3.77
7/1/2014,"1,930.67","1,962.29","1,991.39","1,930.67",,-1.51%,-1.51
6/1/2014,"1,960.23","1,923.87","1,968.17","1,915.98",,1.91%,1.91
5/1/2014,"1,923.57","1,884.39","1,924.03","1,859.79",,2.10%,2.1
4/1/2014,"1,883.95","1,873.96","1,897.28","1,814.36",,0.62%,0.62
3/1/2014,"1,872.34","1,857.68","1,883.97","1,834.44",,0.69%,0.69
2/1/2014,"1,859.45","1,782.68","1,867.92","1,737.92",,4.31%,4.31
1/1/2014,"1,782.60","1,845.90","1,850.80","1,770.50",,-3.56%,-3.56
12/1/2013,"1,848.40","1,806.50","1,849.40","1,768.00",,2.36%,2.36
11/1/2013,"1,805.80","1,758.70","1,813.50","1,746.20",,2.81%,2.81
10/1/2013,"1,756.50","1,682.40","1,775.20","1,646.50",,4.46%,4.46
9/1/2013,"1,681.50","1,636.00","1,729.90","1,633.40",,2.97%,2.97
8/1/2013,"1,633.00","1,689.40","1,709.70","1,627.50",,-3.13%,-3.13
7/1/2013,"1,685.70","1,609.80","1,698.80","1,604.60",,4.94%,4.94
6/1/2013,"1,606.30","1,631.70","1,654.20","1,560.30",,-1.50%,-1.5
5/1/2013,"1,630.70","1,597.50","1,687.20","1,581.30",,2.07%,2.07
4/1/2013,"1,597.60","1,569.20","1,597.60","1,536.00",,1.81%,1.81
3/1/2013,"1,569.20","1,514.70","1,570.30","1,501.50",,3.60%,3.6
2/1/2013,"1,514.70","1,498.10","1,530.90","1,485.00",,1.11%,1.11
1/1/2013,"1,498.10","1,426.20","1,509.90","1,426.20",,5.04%,5.04
12/1/2012,"1,426.20","1,416.30","1,448.00","1,398.10",,0.71%,0.71
11/1/2012,"1,416.20","1,412.20","1,434.30","1,343.30",,0.28%,0.28
10/1/2012,"1,412.20","1,440.90","1,471.00","1,403.30",,-1.98%,-1.98
9/1/2012,"1,440.70","1,406.50","1,474.50","1,396.60",,2.42%,2.42
8/1/2012,"1,406.60","1,379.30","1,426.70","1,354.70",,1.98%,1.98
7/1/2012,"1,379.30","1,362.30","1,391.70","1,325.40",,1.26%,1.26
6/1/2012,"1,362.20","1,309.90","1,363.50","1,266.70",,3.96%,3.96
5/1/2012,"1,310.30","1,397.90","1,415.30","1,292.00",,-6.27%,-6.27
4/1/2012,"1,397.90","1,408.50","1,422.40","1,357.40",,-0.75%,-0.75
3/1/2012,"1,408.50","1,365.90","1,419.20","1,340.00",,3.13%,3.13
2/1/2012,"1,365.70","1,312.50","1,378.00","1,312.50",,4.06%,4.06
1/1/2012,"1,312.40","1,258.90","1,333.50","1,258.90",,4.36%,4.36
12/1/2011,"1,257.60","1,246.90","1,269.40","1,202.40",,0.85%,0.85
11/1/2011,"1,247.00","1,251.00","1,277.50","1,158.70",,-0.50%,-0.5
10/1/2011,"1,253.30","1,131.20","1,292.70","1,074.80",,10.77%,10.77
9/1/2011,"1,131.40","1,219.10","1,229.30","1,114.20",,-7.18%,-7.18
8/1/2011,"1,218.90","1,292.60","1,307.40","1,101.50",,-5.68%,-5.68
7/1/2011,"1,292.30","1,320.60","1,356.50","1,282.90",,-2.14%,-2.14
6/1/2011,"1,320.60","1,345.20","1,345.20","1,258.10",,-1.83%,-1.83
5/1/2011,"1,345.20","1,365.20","1,370.60","1,311.80",,-1.35%,-1.35
4/1/2011,"1,363.60","1,329.50","1,364.60","1,294.70",,2.85%,2.85
3/1/2011,"1,325.80","1,328.60","1,332.30","1,249.00",,-0.11%,-0.11
2/1/2011,"1,327.20","1,289.10","1,344.10","1,289.10",,3.20%,3.2
1/1/2011,"1,286.10","1,257.60","1,302.70","1,257.60",,2.27%,2.27
12/1/2010,"1,257.60","1,186.60","1,262.60","1,186.60",,6.53%,6.53
11/1/2010,"1,180.50","1,185.70","1,227.10","1,173.00",,-0.24%,-0.24
10/1/2010,"1,183.30","1,143.50","1,196.10","1,131.90",,3.69%,3.69
9/1/2010,"1,141.20","1,049.70","1,157.20","1,049.70",,8.76%,8.76
8/1/2010,"1,049.30","1,107.50","1,129.20","1,039.70",,-4.75%,-4.75
7/1/2010,"1,101.60","1,031.10","1,121.00","1,010.90",,6.88%,6.88
6/1/2010,"1,030.70","1,087.30","1,131.20","1,028.30",,-5.39%,-5.39
5/1/2010,"1,089.40","1,188.60","1,205.10","1,040.80",,-8.20%,-8.2
4/1/2010,"1,186.70","1,171.20","1,219.80","1,170.70",,1.48%,1.48
3/1/2010,"1,169.40","1,105.40","1,180.70","1,105.40",,5.88%,5.88
2/1/2010,"1,104.50","1,073.90","1,112.40","1,044.50",,2.85%,2.85
1/1/2010,"1,073.90","1,116.60","1,150.50","1,071.60",,-3.69%,-3.69
12/1/2009,"1,115.10","1,098.90","1,130.40","1,085.90",,1.78%,1.78
11/1/2009,"1,095.60","1,036.20","1,113.70","1,029.40",,5.73%,5.73
10/1/2009,"1,036.20","1,054.90","1,101.40","1,020.00",,-1.98%,-1.98
9/1/2009,"1,057.10","1,019.50","1,080.20",992,,3.58%,3.58
8/1/2009,"1,020.60",990.2,"1,039.50",978.5,,3.35%,3.35
7/1/2009,987.5,920.8,996.7,869.3,,7.42%,7.42
6/1/2009,919.3,923.3,956.2,888.9,,0.02%,0.02
5/1/2009,919.1,872.7,930.2,866.1,,5.30%,5.3
4/1/2009,872.8,793.6,888.7,783.3,,9.39%,9.39
3/1/2009,797.9,729.6,833,666.8,,8.54%,8.54
2/1/2009,735.1,823.1,875,734.5,,-10.99%,-10.99
